Rank,Feature Name,Human Readable Description,Feature Group,Mean |SHAP|,Relative Importance (%),Mean Signed SHAP,Correlation with Risk,Directional Impact
1,log_goal,Log-transformed funding goal,Metadata,0.062836,16.8697,0.016464,0.8736,Higher values INCREASE risk
2,goal,Campaign funding goal,Metadata,0.058546,15.7179,0.014952,0.4040,Higher values INCREASE risk
3,early_donation_velocity,Average donation amount per hour during the first 48 hours,Early Behaviour,0.048280,12.9617,0.008657,-0.7315,Higher values DECREASE risk
4,donations_first_48h_amount,Total donation amount received during the first 48 hours,Early Behaviour,0.047748,12.8189,0.008446,-0.7213,Higher values DECREASE risk
5,donations_first_24h_amount,Total donation amount received during the first 24 hours,Early Behaviour,0.025818,6.9313,0.006497,-0.7580,Higher values DECREASE risk
6,donations_first_48h_count,Number of donations received during the first 48 hours,Early Behaviour,0.021869,5.8713,0.000911,-0.6811,Higher values DECREASE risk
7,donations_first_24h_count,Donations received during the first 24 hours,Early Behaviour,0.016829,4.5180,0.001460,-0.7262,Higher values DECREASE risk
8,cat_animals,Category: Animals & Pets,Metadata,0.011094,2.9785,0.000452,0.9516,Higher values INCREASE risk
9,early_comment_count,Supporter comments received in first 48 hours,Early Behaviour,0.007880,2.1156,0.000981,-0.8269,Higher values DECREASE risk
10,cat_memorial,Category: Memorial & Funeral,Metadata,0.005781,1.5520,0.001072,-0.8804,Higher values DECREASE risk
11,tfidf_this,Narrative keyword relevance: 'this',Text,0.004595,1.2337,0.000545,-0.7831,Higher values DECREASE risk
12,sentiment_neg_ratio,Urgency and crisis vocabulary proportion,Text,0.004279,1.1489,0.000927,0.5327,Higher values INCREASE risk
13,early_comment_density,Supporter comments per donation,Early Behaviour,0.004167,1.1188,-0.000395,-0.2401,Higher values DECREASE risk
14,avg_word_length,Average word length in story,Text,0.003838,1.0304,0.001024,-0.5556,Higher values DECREASE risk
15,tfidf_the,Narrative keyword relevance: 'the',Text,0.003772,1.0127,0.000513,-0.6750,Higher values DECREASE risk
16,description_word_count,Campaign story word count,Text,0.003748,1.0063,0.000601,0.5796,Higher values INCREASE risk
17,description_length,Campaign story character length,Text,0.003231,0.8675,0.000632,0.6681,Higher values INCREASE risk
18,sentence_count,Story sentence count,Text,0.003146,0.8446,0.000246,0.5668,Higher values INCREASE risk
19,tfidf_family,Narrative keyword relevance: 'family',Text,0.002914,0.7823,0.000797,-0.6984,Higher values DECREASE risk
20,cat_medical,Category: Medical & Health,Metadata,0.002705,0.7262,0.000437,-0.2983,Higher values DECREASE risk
21,readability_score,Story readability index (ARI),Text,0.002066,0.5546,0.000396,-0.3633,Higher values DECREASE risk
22,tfidf_have,Narrative keyword relevance: 'have',Text,0.001865,0.5008,0.000164,-0.7455,Higher values DECREASE risk
23,tfidf_and,Narrative keyword relevance: 'and',Text,0.001669,0.4480,0.000553,-0.5218,Higher values DECREASE risk
24,sentiment_pos_ratio,Positive sentiment vocabulary proportion,Text,0.001586,0.4257,0.000303,-0.1898,Higher values DECREASE risk
25,tfidf_that,Narrative keyword relevance: 'that',Text,0.001576,0.4232,0.000171,-0.6914,Higher values DECREASE risk
26,tfidf_will,Narrative keyword relevance: 'will',Text,0.001499,0.4026,0.000368,-0.5656,Higher values DECREASE risk
27,tfidf_thank,Narrative keyword relevance: 'thank',Text,0.001238,0.3323,0.000053,0.3954,Higher values INCREASE risk
28,tfidf_was,Narrative keyword relevance: 'was',Text,0.001198,0.3215,0.000305,0.1572,Higher values INCREASE risk
29,tfidf_his,Narrative keyword relevance: 'his',Text,0.001142,0.3065,0.000084,0.7748,Higher values INCREASE risk
30,tfidf_can,Narrative keyword relevance: 'can',Text,0.001137,0.3054,0.000340,-0.3959,Higher values DECREASE risk
31,tfidf_you,Narrative keyword relevance: 'you',Text,0.000996,0.2673,0.000278,-0.1837,Higher values DECREASE risk
32,tfidf_time,Narrative keyword relevance: 'time',Text,0.000983,0.2640,0.000121,-0.0146,Non-linear / Context-dependent
