experiment,feature_count,model,val_roc_auc,val_pr_auc,val_f1,val_recall,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_log_loss,test_brier
Exp A (Metadata only),16,Logistic Regression,0.738,0.9052,0.7264,0.6139,0.2226,0.6283,0.8615,0.6108,0.7148,0.7173,0.8815,0.6404,0.2248
Exp A (Metadata only),16,Random Forest,0.7534,0.9149,0.7613,0.6691,0.1985,0.6713,0.8607,0.679,0.7591,0.7256,0.8814,0.5951,0.2046
Exp A (Metadata only),16,XGBoost,0.7547,0.9148,0.8002,0.7346,0.2336,0.687,0.8461,0.7208,0.7784,0.719,0.8807,0.6631,0.2351
Exp A (Metadata only),16,SVM,0.7237,0.9015,0.8831,1,0.174,0.7691,0.7676,1,0.8685,0.6974,0.8732,0.5507,0.1817
Exp B (Text only),28,Logistic Regression,0.5817,0.8276,0.6365,0.5165,0.2459,0.5332,0.8022,0.515,0.6273,0.581,0.8082,0.6853,0.2461
Exp B (Text only),28,Random Forest,0.5804,0.8315,0.6953,0.6036,0.2368,0.5785,0.7956,0.602,0.6854,0.5841,0.8172,0.6681,0.2378
Exp B (Text only),28,XGBoost,0.5766,0.8306,0.6267,0.5034,0.2483,0.5265,0.8022,0.5032,0.6185,0.5833,0.8167,0.6896,0.2482
Exp B (Text only),28,SVM,0.5078,0.7971,0.8709,0.9715,0.1986,0.7534,0.7634,0.9806,0.8585,0.533,0.7902,0.593,0.2013
Exp C (Metadata + Text),44,Logistic Regression,0.7353,0.9037,0.7366,0.6259,0.2202,0.6251,0.8601,0.6073,0.7119,0.7183,0.8818,0.6355,0.2226
Exp C (Metadata + Text),44,Random Forest,0.7575,0.9171,0.8119,0.7557,0.1992,0.7081,0.85,0.7496,0.7966,0.7268,0.8849,0.5978,0.2046
Exp C (Metadata + Text),44,XGBoost,0.7411,0.9076,0.7929,0.7295,0.2367,0.6892,0.8476,0.7225,0.7801,0.7107,0.8794,0.6689,0.238
Exp C (Metadata + Text),44,SVM,0.6454,0.8642,0.8712,0.9516,0.189,0.7592,0.7758,0.9624,0.8591,0.651,0.8481,0.572,0.1917
Exp D (Metadata + Text + Early Behaviour),53,Logistic Regression,0.8313,0.9397,0.8173,0.7284,0.1981,0.7188,0.9359,0.6778,0.7862,0.8492,0.9432,0.5946,0.2021
Exp D (Metadata + Text + Early Behaviour),53,Random Forest,0.8773,0.9574,0.8723,0.8189,0.142,0.8054,0.9433,0.7925,0.8613,0.9062,0.9625,0.4518,0.1421
Exp D (Metadata + Text + Early Behaviour),53,XGBoost,0.8561,0.945,0.84,0.7671,0.2192,0.7659,0.9436,0.7372,0.8277,0.8913,0.9577,0.6277,0.2178
Exp D (Metadata + Text + Early Behaviour),53,SVM,0.7183,0.8913,0.878,0.9448,0.1779,0.778,0.807,0.9318,0.8649,0.7608,0.8992,0.5428,0.1783
Exp E (All Features),56,Logistic Regression,0.8305,0.9398,0.8166,0.7267,0.1988,0.7161,0.9334,0.6761,0.7842,0.8481,0.9428,0.5958,0.2026
Exp E (All Features),56,Random Forest,0.8878,0.9617,0.8809,0.8343,0.1357,0.8161,0.9436,0.8072,0.8701,0.9106,0.9644,0.4398,0.1374
Exp E (All Features),56,XGBoost,0.8659,0.949,0.8463,0.7728,0.2173,0.7726,0.9482,0.7425,0.8328,0.8965,0.9586,0.6238,0.2159
Exp E (All Features),56,SVM,0.7162,0.8905,0.8793,0.9476,0.178,0.7767,0.8061,0.9312,0.8642,0.7596,0.8983,0.5432,0.1784
